date,mean_LST_K,landsat
1989-01-15,288.63538331869734,LANDSAT/LT04/C02/T1_L2
1989-01-15,288.4858448341624,LANDSAT/LT04/C02/T1_L2
1989-01-31,289.27451083845943,LANDSAT/LT04/C02/T1_L2
1989-03-04,292.3157309908925,LANDSAT/LT04/C02/T1_L2
1988-01-05,269.82513641432286,LANDSAT/LT05/C02/T1_L2
1988-01-21,288.88829576622084,LANDSAT/LT05/C02/T1_L2
1988-02-06,288.99682894713163,LANDSAT/LT05/C02/T1_L2
1988-02-06,288.88139081697267,LANDSAT/LT05/C02/T1_L2
1988-10-03,300.44986294719143,LANDSAT/LT05/C02/T1_L2
1988-10-03,300.55195113545255,LANDSAT/LT05/C02/T1_L2
1988-10-19,296.936472434919,LANDSAT/LT05/C02/T1_L2
1988-10-19,297.1168455961649,LANDSAT/LT05/C02/T1_L2
1988-11-20,294.4319669241499,LANDSAT/LT05/C02/T1_L2
1988-11-20,294.3265852012833,LANDSAT/LT05/C02/T1_L2
1988-12-22,266.588354831353,LANDSAT/LT05/C02/T1_L2
1989-01-23,287.05305084633153,LANDSAT/LT05/C02/T1_L2
1989-02-24,288.58217846773573,LANDSAT/LT05/C02/T1_L2
1989-02-24,288.53435406415485,LANDSAT/LT05/C02/T1_L2
1989-03-12,289.59128525813344,LANDSAT/LT05/C02/T1_L2
1989-03-12,289.62567483021263,LANDSAT/LT05/C02/T1_L2
1989-04-29,296.5479456194216,LANDSAT/LT05/C02/T1_L2
1989-05-15,294.5462784049024,LANDSAT/LT05/C02/T1_L2
1989-05-15,294.5434484423669,LANDSAT/LT05/C02/T1_L2
1989-05-31,299.2021442814085,LANDSAT/LT05/C02/T1_L2
1989-05-31,298.8661003340178,LANDSAT/LT05/C02/T1_L2
1989-06-16,295.95169342,LANDSAT/LT05/C02/T1_L2
1989-11-07,293.8787791891775,LANDSAT/LT05/C02/T1_L2
1989-11-07,293.888651919437,LANDSAT/LT05/C02/T1_L2
1989-11-23,291.63378199385664,LANDSAT/LT05/C02/T1_L2
1989-11-23,291.72493260911585,LANDSAT/LT05/C02/T1_L2
1989-12-25,289.70236579167783,LANDSAT/LT05/C02/T1_L2
1989-12-25,289.8036446758237,LANDSAT/LT05/C02/T1_L2
1990-01-10,274.7391237407578,LANDSAT/LT05/C02/T1_L2
1990-01-26,289.023488714819,LANDSAT/LT05/C02/T1_L2
1990-01-26,289.030771663461,LANDSAT/LT05/C02/T1_L2
1990-02-11,287.87289061665433,LANDSAT/LT05/C02/T1_L2
1990-02-27,290.0510072714254,LANDSAT/LT05/C02/T1_L2
1990-03-15,290.39639985776324,LANDSAT/LT05/C02/T1_L2
1990-03-15,290.3990953261722,LANDSAT/LT05/C02/T1_L2
1990-04-16,296.08089252436395,LANDSAT/LT05/C02/T1_L2
1990-04-16,296.2175036387398,LANDSAT/LT05/C02/T1_L2
1990-05-02,293.5429424087724,LANDSAT/LT05/C02/T1_L2
1990-06-03,293.2100264039622,LANDSAT/LT05/C02/T1_L2
1991-01-29,287.56600270594294,LANDSAT/LT05/C02/T1_L2
1991-01-29,287.64039961880906,LANDSAT/LT05/C02/T1_L2
1991-02-14,288.69151099251565,LANDSAT/LT05/C02/T1_L2
1991-02-14,288.5606062892698,LANDSAT/LT05/C02/T1_L2
1991-03-18,293.12414308955994,LANDSAT/LT05/C02/T1_L2
1991-03-18,293.0928346924951,LANDSAT/LT05/C02/T1_L2
1991-04-03,296.1304177717741,LANDSAT/LT05/C02/T1_L2
1991-04-03,296.15601505999996,LANDSAT/LT05/C02/T1_L2
1991-05-05,295.4391886605618,LANDSAT/LT05/C02/T1_L2
1991-05-05,295.5585245746144,LANDSAT/LT05/C02/T1_L2
1991-05-21,294.9129983793719,LANDSAT/LT05/C02/T1_L2
1991-05-21,294.84586194645556,LANDSAT/LT05/C02/T1_L2
1991-09-10,294.5241224070774,LANDSAT/LT05/C02/T1_L2
1991-09-26,300.79019186266277,LANDSAT/LT05/C02/T1_L2
1991-09-26,300.78904570829224,LANDSAT/LT05/C02/T1_L2
